Food Name,Protein (g),Fat (g),Carbohydrates (g),Calories,Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mcg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
"Radishes, oriental, raw",0.6,0.1,4.1,18,0,0,0,0,0,2.5,0,1.6,27,0.4,16,23,227,21,0.15,0.115,0.038,0.7,0,0,0,0,0,0,0,0,0,0,0,0,22,0.02,0.02,0.2,0.138,0.046,28,0,7.3,0,0.03,2.5
"Radishes, oriental, cooked, boiled, drained, without salt",0.67,0.24,3.43,17,0,0,0,0,0,1.83,0,1.6,17,0.15,9,24,285,13,0.13,0.101,0.033,0.7,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0.023,0.15,0.114,0.038,17,0,6.8,0,0.073,1.83
"Radishes, oriental, dried",7.9,0.72,63.37,271,0,0,0,0,0,37.32,0,23.9,629,6.73,170,204,3494,278,2.13,1.631,0.539,0.7,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.27,0.68,3.4,1.854,0.618,295,0,109.7,0,0.218,39.47
"Rutabagas, raw",1.08,0.16,8.62,37,0.53,2.3,1.61,0,0.02,4.46,0,2.3,43,0.44,20,53,305,12,0.24,0.032,0.131,0.7,2,0,0,1,0,0.3,0,0,0,1,14,19,25,0.09,0.04,0.7,0.16,0.1,21,0,14.1,0,0.027,6.32
"Rutabagas, cooked, boiled, drained, without salt",0.93,0.18,6.84,30,0.35,2.06,1.54,0,0,3.95,0,1.8,18,0.18,10,41,216,5,0.12,0.029,0.097,0.7,2,0,0,1,0,0.24,0,0,0,0,10,13,18.8,0.082,0.041,0.715,0.155,0.102,15,0,15.2,0,0.029,5.04
"Salsify, (vegetable oyster), raw",3.3,0.2,18.6,82,0,0,0,0,0,0,0,3.3,60,0.7,23,75,380,20,0.38,0.089,0.268,0.8,0,0,0,0,0,0,0,0,0,0,0,0,8,0.08,0.22,0.5,0.371,0.277,26,0,0,0,0,15.3
"Salsify, cooked, boiled, drained, without salt",2.73,0.17,15.36,68,0,0,0,0,0,2.9,0,3.1,47,0.55,18,56,283,16,0.3,0.07,0.21,0.6,0,0,0,0,0,0.19,0,0,0,0,0,0,4.6,0.056,0.173,0.392,0.276,0.218,15,0,25.9,0,0.041,12.26
"Sauerkraut, canned, solids and liquids",0.91,0.14,4.28,19,0,0.14,0.04,0,0,1.78,0,2.9,30,1.47,13,20,170,661,0.19,0.096,0.151,0.6,18,0,1,8,5,0.14,0,0,0,0,0,295,14.7,0.021,0.022,0.143,0.093,0.13,24,0,10.4,0,0.034,1.38
"Seaweed, agar, raw",0.54,0.03,6.75,26,0,0,0,0,0,0.28,0,0.5,54,1.86,67,5,226,9,0.58,0.061,0.373,0.7,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0.005,0.022,0.055,0.302,0.032,85,0,6,0,0.006,6.25
"Seaweed, irishmoss, raw",1.51,0.16,12.29,49,0,0,0,0,0,0.61,0,1.3,72,8.9,144,157,63,67,1.95,0.149,0.37,0.7,118,0,6,71,0,0.87,0,0,0,0,0,0,3,0.015,0.466,0.593,0.176,0.069,182,0,12.9,0,0.033,10.99
"Seaweed, kelp, raw",1.68,0.56,9.57,43,0,0,0,0,0,0.6,0,1.3,168,2.85,121,42,89,233,1.23,0.13,0.2,0.7,116,0,6,70,0,0.87,0,0,0,0,0,0,3,0.05,0.15,0.47,0.642,0.002,180,0,12.8,0,0.247,8.27
"Seaweed, laver, raw",5.81,0.28,5.11,35,0,0,0,0,0,0.49,0,0.3,70,1.8,2,58,356,48,1.05,0.264,0.988,0.7,5202,0,260,3121,0,1,0,0,0,0,0,0,39,0.098,0.446,1.47,0.521,0.159,146,0,10.4,0,0.061,4.81
"Sesbania flower, raw",1.28,0.04,6.73,27,0,0,0,0,0,0,0,0,19,0.84,12,30,184,15,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,73,0.083,0.081,0.43,0,0,102,0,0,0,0,6.73
"Sesbania flower, cooked, steamed, without salt",1.14,0.05,5.23,22,0,0,0,0,0,0,0,0,22,0.56,12,21,107,11,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,37,0.048,0.043,0.25,0,0,57,0,0,0,0,5.23
"Soybeans, green, raw",12.95,6.8,11.05,147,0,0,0,0,0,0,0,4.2,197,3.55,65,194,620,15,0.99,0.128,0.547,1.5,180,0,9,0,0,0,0,0,0,0,0,0,29,0.435,0.175,1.65,0.147,0.065,165,0,0,0,0.786,6.85
"Soybeans, green, cooked, boiled, drained, without salt",12.35,6.4,11.05,141,0,0,0,0,0,0,0,4.2,145,2.5,60,158,539,14,0.91,0.117,0.502,1.4,156,0,8,0,0,0,0,0,0,0,0,0,17,0.26,0.155,1.25,0.128,0.06,111,0,0,0,0.74,6.85
"Soybeans, mature seeds, sprouted, raw",13.09,6.7,9.57,122,0,0,0,0,0,0,0,1.1,67,2.1,72,164,484,14,1.17,0.427,0.702,0.6,11,0,1,0,0,0,0,0,0,0,0,0,15.3,0.34,0.118,1.148,0.929,0.176,172,0,0,0,0.929,8.47
"Soybeans, mature seeds, sprouted, cooked, steamed",8.47,4.45,6.53,81,0,0,0,0,0,0.52,0,0.8,59,1.31,60,135,355,10,1.04,0.33,0.71,0.6,40,0,2,12,12,0.21,0,0,0,12,0,0,8.3,0.205,0.053,1.092,0.743,0.105,80,0,41.2,0,0.617,5.73
"Soybeans, mature seeds, sprouted, cooked, stir-fried",13.1,7.1,9.4,125,0,0,0,0,0,0,0,0.8,82,0.4,96,216,567,14,2.1,0.527,1.133,0.6,17,0,1,0,0,0,0,0,0,0,0,0,12,0.42,0.19,1.1,1.186,0.168,127,0,0,0,0.985,8.6
"Spinach, raw",2.86,0.39,3.63,23,0.07,0.11,0.15,0,0,0.42,0.1,2.2,99,2.71,79,49,558,79,0.53,0.13,0.897,1,9377,0,469,5626,0,2.03,0,0,0,0,0,12198,28.1,0.078,0.189,0.724,0.065,0.195,194,0,19.3,0,0.063,1.43
"Spinach, cooked, boiled, drained, without salt",2.97,0.26,3.75,23,0,0,0,0,0,0.43,0,2.4,136,3.57,87,56,466,70,0.76,0.174,0.935,1.5,10481,0,524,6288,0,2.08,0,0,0,0,0,11308,9.8,0.095,0.236,0.49,0.145,0.242,146,0,19.7,0,0.043,1.35
"Spinach, canned, regular pack, solids and liquids",2.11,0.37,2.92,19,0,0,0,0,0,0.33,0,1.6,83,1.58,56,32,230,319,0.42,0.116,0.493,1.2,8084,0,404,4850,0,1.6,0,0,0,0,0,8722,13.5,0.018,0.106,0.271,0.038,0.08,58,0,15.2,0,0.06,1.32
"Spinach, canned, regular pack, drained solids",2.81,0.5,3.4,23,0,0,0,0,0,0.4,0,2.4,127,2.3,76,44,346,322,0.46,0.18,0.597,1.4,9801,0,490,5881,0,1.94,0,0,0,0,0,10575,14.3,0.016,0.138,0.388,0.047,0.1,98,0,18.4,0,0.081,1
"Spinach, frozen, chopped or leaf, unprepared",3.63,0.57,4.21,29,0.24,0.24,0.18,0,0,0.65,0,2.9,129,1.89,75,49,346,74,0.56,0.144,0.704,6,11726,0,586,7035,0,2.9,0,0,0,0,0,12651,5.5,0.094,0.224,0.507,0.094,0.172,145,0,22.1,0,0.041,1.31
"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",4.01,0.87,4.8,34,0.21,0.2,0.09,0,0,0.51,0,3.7,153,1.96,82,50,302,97,0.49,0.161,0.717,5.5,12061,0,603,7237,0,3.54,0,0,0,0,0,15690,2.2,0.078,0.176,0.439,0.075,0.136,121,0,24.8,0,0.157,1.1
"Squash, summer, crookneck and straightneck, raw",1.01,0.27,3.88,19,0.06,1.23,1.59,0,0,2.88,0,1,21,0.44,20,32,222,2,0.29,0.092,0.172,0.2,150,0,8,90,0,0.13,0,0,0,0,0,290,19.3,0.051,0.041,0.448,0.16,0.104,19,0,7.1,0,0.093,2.88
"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",1.04,0.39,3.79,23,0.27,0.91,1.31,0,0,2.48,0,1.1,22,0.37,16,29,177,1,0.22,0.065,0.157,0.2,1117,0,56,670,0,0.12,0,0,0,0,0,315,11.6,0.043,0.025,0.507,0.323,0.078,23,0,7.9,0,0.064,2.69
"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",0.61,0.07,2.96,13,0,0,0,0,0,1.19,0,1.4,12,0.71,13,21,96,5,0.29,0.08,0.097,0.2,102,0,5,61,0,0.12,0,0,0,0,0,198,2.7,0.016,0.027,0.418,0.048,0.042,10,0,4.9,0,0.015,1.56
"Squash, summer, crookneck and straightneck, frozen, unprepared",0.83,0.14,4.8,20,0,0,0,0,0,0,0,1.2,18,0.48,23,35,209,5,0.37,0.085,0.162,0.2,279,0,14,0,0,0,0,0,0,0,0,0,6.4,0.04,0.048,0.4,0.088,0.088,12,0,0,0,0.029,3.6
"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",1.28,0.2,5.54,25,0,0,0,0,0,2.33,0,1.4,20,0.52,27,41,253,6,0.34,0.073,0.263,0.3,201,0,10,120,0,0.15,0,0,0,0,0,388,6.8,0.036,0.047,0.44,0.102,0.099,13,0,9.7,0,0.04,4.14
"Squash, summer, scallop, raw",1.2,0.2,3.84,18,0,0,0,0,0,2.39,0,1.2,19,0.4,23,36,182,1,0.29,0.102,0.157,0.2,217,0,11,130,0,0.13,0,0,0,0,0,2308,18,0.07,0.03,0.6,0.102,0.109,30,0,7.3,0,0.041,2.64
"Squash, summer, scallop, cooked, boiled, drained, without salt",1.03,0.17,3.3,16,0,0,0,0,0,1.5,0,1.9,15,0.33,19,28,140,1,0.24,0.083,0.128,0.2,85,0,4,51,0,0.12,0,0,0,0,0,250,10.8,0.051,0.025,0.464,0.079,0.085,21,0,6.2,0,0.035,1.4
"Squash, summer, zucchini, includes skin, raw",1.21,0.32,3.11,17,0.05,1.07,1.38,0,0,2.5,0,1,16,0.37,18,38,261,8,0.32,0.053,0.177,0.2,200,0,10,120,0,0.12,0,0,0,0,0,2125,17.9,0.045,0.094,0.451,0.204,0.163,24,0,9.5,0,0.084,2.11
"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",1.14,0.36,2.69,15,0,0,0,0,0,1.71,0,1,18,0.37,19,37,264,3,0.33,0.052,0.173,0.2,1117,0,56,670,0,0.12,0,0,0,0,0,1150,12.9,0.035,0.024,0.51,0.288,0.08,28,0,9.4,0,0.072,1.69
"Squash, summer, zucchini, includes skin, frozen, unprepared",1.16,0.13,3.58,17,0,0,0,0,0,1.71,0,1.3,18,0.51,13,28,218,2,0.21,0.05,0.244,0.2,198,0,10,119,0,0.12,0,0,0,0,0,2102,5.3,0.048,0.042,0.433,0.297,0.05,10,0,0,0,0.027,2.28
"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",1.15,0.13,3.56,17,0,0,0,0,0,1.69,0,1.3,17,0.48,13,25,194,2,0.2,0.047,0.23,0.2,177,0,9,106,0,0.12,0,0,0,0,0,1877,3.7,0.041,0.04,0.386,0.265,0.045,8,0,9.4,0,0.027,2.26
"Squash, summer, zucchini, italian style, canned",1.03,0.11,6.85,29,0,0,0,0,0,0,0,0,17,0.68,14,29,274,374,0.26,0.098,0.24,0.4,539,0,27,0,0,0,0,0,0,0,0,0,2.3,0.042,0.04,0.528,0.274,0.152,30,0,0,0,0.023,6.85
"Squash, winter, acorn, raw",0.8,0.1,10.42,40,0,0,0,0,0,0,0,1.5,33,0.7,32,36,347,3,0.13,0.065,0.167,0.5,367,0,18,220,0,0,0,0,0,0,0,38,11,0.14,0.01,0.7,0.4,0.154,17,0,0,0,0.021,8.92
"Squash, winter, acorn, cooked, baked, without salt",1.12,0.14,14.58,56,0,0,0,0,0,0,0,4.4,44,0.93,43,45,437,4,0.17,0.086,0.242,0.7,428,0,21,0,0,0,0,0,0,0,0,0,10.8,0.167,0.013,0.881,0.504,0.194,19,0,0,0,0.029,10.18
"Squash, winter, acorn, cooked, boiled, mashed, without salt",0.67,0.08,8.79,34,0,0,0,0,0,0,0,2.6,26,0.56,26,27,263,3,0.11,0.052,0.146,0.4,817,0,41,490,0,0,0,0,0,0,0,66,6.5,0.1,0.008,0.531,0.303,0.117,11,0,0,0,0.017,6.19
"Squash, winter, butternut, raw",1,0.1,11.69,45,0.22,0.99,0.99,0,0,2.2,0,2,48,0.7,34,33,352,4,0.15,0.072,0.202,0.5,10630,0,532,4226,834,1.44,0,0,0,3471,0,0,21,0.1,0.02,1.2,0.4,0.154,27,0,0,0,0.021,9.69
"Squash, winter, butternut, cooked, baked, without salt",0.9,0.09,10.49,40,0,0,0,0,0,1.97,0,3.2,41,0.6,29,27,284,4,0.13,0.065,0.172,0.5,11155,0,558,4570,1130,1.29,0,0,0,3116,0,0,15.1,0.072,0.017,0.969,0.359,0.124,19,0,0,0,0.019,7.29
"Squash, winter, butternut, frozen, unprepared",1.76,0.1,14.41,57,0,0,0,0,0,2.83,0,1.3,29,0.88,14,22,212,2,0.17,0.051,0.248,0.7,4790,0,240,1904,376,1.85,0,0,0,1564,0,0,6.2,0.09,0.059,0.74,0.221,0.11,24,0,0,0,0.021,13.11
"Squash, winter, butternut, frozen, cooked, boiled, without salt",1.23,0.07,10.05,39,0,0,0,0,0,0,0,0,19,0.58,9,14,133,2,0.12,0.036,0.173,0.5,3339,0,167,0,0,0,0,0,0,0,0,0,3.5,0.05,0.039,0.464,0.154,0.069,16,0,0,0,0.014,10.05
"Squash, winter, hubbard, raw",2,0.5,8.7,40,0,0,0,0,0,3.95,0,3.9,14,0.4,19,21,320,7,0.13,0.064,0.179,0.5,1367,0,68,820,0,0.16,0,0,0,0,0,0,11,0.07,0.04,0.5,0.4,0.154,16,0,11.8,0,0.103,4.8
"Squash, winter, hubbard, baked, without salt",2.48,0.62,10.81,50,0,0,0,0,0,4.9,0,4.9,17,0.47,22,23,358,8,0.15,0.045,0.17,0.6,6705,0,335,3580,885,0.2,0,0,0,0,0,0,9.5,0.074,0.047,0.558,0.447,0.172,16,0,14.6,0,0.128,5.91
"Squash, winter, hubbard, cooked, boiled, mashed, without salt",1.48,0.37,6.46,30,0,0,0,0,0,2.93,0,2.9,10,0.28,13,14,214,5,0.1,0.047,0.126,0.3,4005,0,200,1641,406,0.12,0,0,0,1119,0,0,6.5,0.042,0.028,0.334,0.297,0.103,10,0,8.7,0,0.076,3.56
"Squash, winter, spaghetti, raw",0.64,0.57,6.91,31,0,0,0,0,0,2.76,0,1.5,23,0.31,12,12,108,17,0.19,0.037,0.125,0.3,120,0,6,64,16,0.13,0,0,0,0,0,0,2.1,0.037,0.018,0.95,0.36,0.101,12,0,8.2,0,0.117,5.41
"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",0.66,0.26,6.46,27,0,0,0,0,0,2.53,0,1.4,21,0.34,11,14,117,18,0.2,0.035,0.109,0.3,110,0,6,59,15,0.12,0,0,0,0,0,0,3.5,0.038,0.022,0.81,0.355,0.099,8,0,7.5,0,0.062,5.06
"Succotash, (corn and limas), raw",5.03,1.02,19.59,99,0,0,0,0,0,0,0,3.8,18,1.83,48,113,369,4,0.61,0.186,0.688,0.6,292,0,15,0,0,0,0,0,0,0,0,0,15.1,0.208,0.082,1.587,0.128,0.13,40,0,0,0,0.19,15.79
"Succotash, (corn and limas), cooked, boiled, drained, without salt",5.07,0.8,24.38,115,0,0,0,0,0,0,0,4.5,17,1.52,53,117,410,17,0.63,0.179,0.769,0.6,294,0,15,0,0,0,0,0,0,0,0,0,8.2,0.168,0.096,1.327,0.567,0.116,33,0,0,0,0.148,19.88
"Succotash, (corn and limas), canned, with cream style corn",2.64,0.54,17.61,77,0,0,0,0,0,0,0,3,11,0.55,1,59,183,245,0.43,0.178,0.645,0.6,141,0,7,0,0,0,0,0,0,0,0,0,6.4,0.027,0.065,0.607,0.218,0.128,44,0,0,0,0.101,14.61
"Succotash, (corn and limas), canned, with whole kernel corn, solids and liquids",2.6,0.49,13.98,63,0,0,0,0,0,0,0,2.6,11,0.53,19,55,163,221,0.5,0.109,0.366,0.6,146,0,7,0,0,0,0,0,0,0,0,0,4.6,0.029,0.058,0.64,0.309,0.049,32,0,0,0,0.092,11.38
"Succotash, (corn and limas), frozen, unprepared",4.31,0.89,19.94,93,0,0,0,0,0,0,0,4,16,0.94,24,78,295,45,0.47,0.063,0.295,0.6,257,0,13,0,0,0,0,0,0,0,0,0,8.5,0.087,0.072,1.375,0.258,0.1,42,0,0,0,0.166,15.94
"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",4.31,0.89,19.95,93,0,0,0,0,0,2.21,0,4.1,15,0.89,23,70,265,45,0.45,0.06,0.28,0.6,194,0,10,82,9,0.18,0,0,0,61,0,342,5.9,0.074,0.068,1.306,0.232,0.095,33,0,29.1,0,0.166,15.85
"Swamp cabbage, (skunk cabbage), raw",2.6,0.2,3.14,19,0,0,0,0,0,0,0,2.1,77,1.67,71,39,312,113,0.18,0.023,0.16,0.9,6300,0,315,0,0,0,0,0,0,0,0,0,55,0.03,0.1,0.9,0.141,0.096,57,0,0,0,0,1.04
"Swamp cabbage (skunk  cabbage), cooked, boiled, drained, without salt",2.08,0.24,3.7,20,0,0,0,0,0,0,0,1.9,54,1.32,30,42,284,122,0.16,0.021,0.143,0.9,5200,0,260,0,0,0,0,0,0,0,0,0,16,0.05,0.08,0.5,0.126,0.081,35,0,0,0,0.039,1.8
"Sweet potato leaves, raw",2.49,0.51,8.82,42,0,0,0,0,0,0,0,5.3,78,0.97,70,81,508,6,0,0,0,0.9,3778,0,189,2217,42,0,0,0,0,58,0,14720,11,0.156,0.345,1.13,0.225,0.19,0,0,0,0,0.111,3.52
"Sweet potato leaves, cooked, steamed, without salt",2.18,0.34,7.38,41,0,0,0,0,0,5.48,0,1.9,33,0.63,48,40,312,7,0.26,0.033,0.229,0.9,2939,0,147,1725,33,0.96,0,0,0,45,0,11449,1.5,0.112,0.267,1.003,0.2,0.16,49,0,21,0,0.065,5.48
"Sweet potato, raw, unprepared",1.57,0.05,20.12,86,2.52,0.96,0.7,0,0,4.18,0,3,30,0.61,25,47,337,55,0.3,0.151,0.258,0.6,14187,0,709,8509,7,0.26,0,0,0,0,0,0,2.4,0.078,0.061,0.557,0.8,0.209,11,0,12.3,0,0.018,17.12
"Sweet potato, cooked, baked in skin, flesh, without salt",2.01,0.15,20.71,90,2.28,0.57,0.5,0,3.12,6.48,0,3.3,38,0.69,27,54,475,36,0.32,0.161,0.497,0.2,19218,0,961,11509,43,0.71,0,0,0,0,0,0,19.6,0.107,0.106,1.487,0.884,0.286,6,0,13.1,0,0.052,17.41
"Sweet potato, cooked, boiled, without skin",1.37,0.14,17.72,76,1.43,0.54,0.43,0,3.34,5.74,0,2.5,27,0.72,18,32,230,27,0.2,0.094,0.266,0.2,15740,0,787,9444,0,0.94,0,0,0,0,0,0,12.8,0.056,0.047,0.538,0.581,0.165,6,0,10.8,0,0.031,15.22
"Sweet potato, canned, vacuum pack",1.65,0.2,21.12,91,0,0,0,0,0,5,0,1.8,22,0.89,22,49,312,53,0.18,0.139,0.455,0.7,7983,0,399,4790,0,1,0,0,0,0,0,0,26.4,0.037,0.057,0.741,0.523,0.19,17,0,13,0,0.041,19.32
"Sweet potato, canned, mashed",1.98,0.2,23.19,101,0,0,0,0,0,5.45,0,1.7,30,1.33,24,52,210,75,0.21,0.278,0.988,0.8,8699,0,435,5219,0,1.09,0,0,0,0,0,0,5.2,0.027,0.09,0.955,0.512,0.235,11,0,0,0,0.041,21.49
"Sweet potato, frozen, unprepared",1.71,0.18,22.22,96,0,0,0,0,0,0,0,1.7,37,0.53,22,45,365,6,0.31,0.177,0.665,0.6,10367,0,518,6220,0,0,0,0,0,0,0,0,13.3,0.067,0.051,0.597,0.515,0.177,21,0,0,0,0.039,20.52
"Sweet potato, frozen, cooked, baked, without salt",1.71,0.12,23.4,100,0,0,0,0,0,9.17,0,1.8,35,0.54,21,44,377,8,0.3,0.183,0.665,0.6,20870,0,1043,12498,47,0.77,0,0,0,0,0,0,9.1,0.066,0.056,0.555,0.56,0.186,22,0,0,0,0.025,21.6
"Taro, raw",1.5,0.2,26.46,112,0,0,0,0,0,0.4,0,4.1,43,0.55,33,84,591,11,0.23,0.172,0.383,0.7,76,0,4,35,0,2.38,0,0,0,20,0,0,4.5,0.095,0.025,0.6,0.303,0.283,22,0,17.3,0,0.041,22.36
"Taro, cooked, without salt",0.52,0.11,34.6,142,0,0,0,0,0,0.49,0,5.1,18,0.72,30,76,484,15,0.27,0.201,0.449,0.9,84,0,4,39,0,2.93,0,0,0,22,0,0,5,0.107,0.028,0.51,0.336,0.331,19,0,21.3,0,0.023,29.5
"Taro leaves, raw",4.98,0.74,6.7,42,0,0,0,0,0,3.01,0,3.7,107,2.25,45,60,648,3,0.41,0.27,0.714,0.9,4825,0,241,2895,0,2.02,0,0,0,0,0,1932,52,0.209,0.456,1.513,0.084,0.146,126,0,12.8,0,0.151,3
"Taro leaves, cooked, steamed, without salt",2.72,0.41,4.02,24,0,0,0,0,0,0,0,2,86,1.18,20,27,460,2,0.21,0.14,0.371,0.9,4238,0,212,0,0,0,0,0,0,0,0,0,35.5,0.139,0.38,1.267,0.044,0.072,48,0,21,0,0.083,2.02
"Taro shoots, raw",0.92,0.09,2.32,11,0,0,0,0,0,0,0,0,12,0.6,8,28,332,1,0.51,0.088,0.122,0.9,50,0,3,0,0,0,0,0,0,0,0,0,21,0.04,0.05,0.8,0.075,0.111,3,0,0,0,0.018,2.32
"Taro shoots, cooked, without salt",0.73,0.08,3.2,14,0,0,0,0,0,0,0,0,14,0.41,8,26,344,2,0.54,0.094,0.13,1,51,0,3,0,0,0,0,0,0,0,0,0,18.9,0.038,0.053,0.81,0.076,0.112,3,0,0,0,0.016,3.2
"Taro, tahitian, raw",2.79,0.97,6.91,44,0,0,0,0,0,0,0,0,129,1.3,47,45,606,50,0.09,0.071,0.157,0.7,2045,0,102,0,0,0,0,0,0,0,0,0,96,0.062,0.244,0.995,0.124,0.116,9,0,0,0,0.197,6.91
"Taro, tahitian, cooked, without salt",4.16,0.68,6.85,44,0,0,0,0,0,0,0,0,149,1.56,51,67,623,54,0.1,0.076,0.168,0.8,1764,0,88,0,0,0,0,0,0,0,0,0,38,0.044,0.198,0.48,0.126,0.117,7,0,0,0,0.139,6.85
"Tomatoes, green, raw",1.2,0.2,5.1,23,0,0,0,0,0,4,0,1.1,13,0.51,10,28,204,13,0.07,0.09,0.1,0.4,642,0,32,346,78,0.38,0,0,0,0,0,0,23.4,0.06,0.04,0.5,0.5,0.081,9,0,8.6,0,0.028,4
"Tomatoes, red, ripe, raw, year round average",0.88,0.2,3.89,18,0,1.25,1.37,0,0,2.63,0,1.2,10,0.27,11,24,237,5,0.17,0.059,0.114,0,833,0,42,449,101,0.54,0,0,0,0,2573,123,13.7,0.037,0.019,0.594,0.089,0.08,15,0,6.7,0,0.028,2.69
"Tomatoes, red, ripe, cooked",0.95,0.11,4.01,18,0,1.18,1.31,0,0,2.49,0,0.7,11,0.68,9,28,218,11,0.14,0.075,0.105,0.5,489,0,24,293,0,0.56,0,0,0,0,3041,94,22.8,0.036,0.022,0.532,0.129,0.079,13,0,6.9,0,0.015,3.31
"Tomatoes, red, ripe, canned, packed in tomato juice",0.79,0.25,3.47,16,0,1.24,1.31,0,0,2.55,0,1.9,33,0.57,10,17,191,115,0.12,0.052,0.068,0.7,408,0,20,245,0,0.59,0,0,0,0,2537,78,12.6,0.575,0.055,0.712,0.117,0.111,8,0,6.4,0,0.034,1.57
"Tomatoes, red, ripe, canned, stewed",0.91,0.19,6.19,26,0.02,1.63,1.88,0,0,3.52,0,1,34,1.33,12,20,207,221,0.17,0.112,0.059,0.6,172,0,9,103,0,0.83,0,0,0,0,4088,126,7.9,0.046,0.035,0.714,0.114,0.017,5,0,10.4,0,0.026,5.19
"Tomatoes, red, ripe, canned, with green chilies",0.69,0.08,3.62,15,0,0,0,0,0,0,0,0,20,0.26,11,14,107,401,0.13,0.09,0.132,0.4,390,0,20,0,0,0,0,0,0,0,0,0,6.2,0.034,0.019,0.64,0.148,0.103,9,0,0,0,0.011,3.62
"Tomato juice, canned, with salt added",0.85,0.29,3.53,17,0,1.25,1.33,0,0,2.58,0,0.4,10,0.39,11,19,217,253,0.11,0.042,0.068,0.5,450,0,23,270,0,0.32,0,0,0,0,9037,60,70.1,0.1,0.078,0.673,0,0.07,20,0,6.8,0,0.019,3.13
"Tomato products, canned, paste, without salt added",4.32,0.47,18.91,82,0.3,5.75,5.85,0,0.28,12.18,0,4.1,36,2.98,42,83,1014,59,0.63,0.365,0.302,5.3,1525,0,76,901,29,4.3,0,0,0,0,28764,0,21.9,0.06,0.153,3.076,0.142,0.216,12,0,38.5,0,0.1,14.81
"Tomato products, canned, puree, without salt added",1.65,0.21,8.98,38,0,2.45,2.38,0,0,4.83,0,1.9,18,1.78,23,40,439,28,0.36,0.287,0.169,0.7,510,0,26,306,0,1.97,0,0,0,0,21754,0,10.6,0.025,0.08,1.466,0.44,0.126,11,0,17.6,0,0.029,7.08
Tomato powder,12.91,0.44,74.68,302,0,0,0,0,0,43.9,0,16.5,166,4.56,178,295,1927,134,1.71,1.241,1.951,5.3,17247,0,862,10348,0,12.25,0,0,0,0,46260,1370,116.7,0.913,0.761,9.133,3.76,0.457,120,0,0,0,0.062,58.18
"Tomato products, canned, sauce",1.2,0.3,5.31,24,0.07,1.82,1.67,0,0,3.56,0,1.5,14,0.96,15,27,297,474,0.22,0.115,0.113,0.6,435,0,22,259,0,1.44,0,0,0,3,13895,24,7,0.024,0.065,0.991,0.309,0.098,9,0,9.9,0,0.041,3.81
"Tomato products, canned, sauce, with mushrooms",1.45,0.13,8.43,35,0,0,0,0,0,5.77,0,1.5,13,0.89,19,32,380,452,0.21,0.199,0.188,0.2,955,0,48,570,0,1.92,0,0,0,6,18942,31,12.4,0.072,0.108,1.265,0.367,0.133,9,0,0,0,0.017,6.93
"Tomato products, canned, sauce, with onions",1.56,0.19,9.94,42,0,0,0,0,0,0,0,1.8,17,0.93,19,39,413,551,0.23,0.181,0.301,0.8,850,0,43,0,0,0,0,0,0,0,0,0,12.7,0.073,0.133,1.242,0.368,0.267,22,0,0,0,0.03,8.14
"Tomato products, canned, sauce, with herbs and cheese",2.13,1.93,10.24,59,0,0,0,0,0,0,0,2.2,37,0.87,19,54,356,543,0.36,0.174,0.188,0.9,987,0,49,0,0,0,0,0,0,0,0,0,10,0.076,0.124,1.209,0.275,0.019,8,0,0,3,0.627,8.04
"Tomato products, canned, sauce, with onions, green peppers, and celery",0.94,0.74,8.77,41,0,0,0,0,0,7.36,0,1.4,13,0.76,21,38,398,368,0.28,0.198,0.244,0.6,810,0,41,483,0,1.18,0,0,0,6,18454,30,13.2,0.067,0.12,1.095,0.221,0.194,14,0,13,0,0.133,7.37
